date,stock_id,deal_price,volume,Time,TickType
2021-01-22,2603,33,7,08:30:05.338,0
2021-01-22,2603,32.1,10,08:30:10.358,0
2021-01-22,2603,32.9,107,08:30:15.378,0
2021-01-22,2603,32.9,111,08:30:20.397,0
2021-01-22,2603,32.9,130,08:30:25.417,0
2021-01-22,2603,32.9,138,08:30:30.436,0
2021-01-22,2603,32.9,179,08:30:35.456,0
2021-01-22,2603,32.1,144,08:30:40.474,0
2021-01-22,2603,32.1,156,08:30:45.492,0
2021-01-22,2603,32.1,167,08:30:50.511,0
2021-01-22,2603,32.1,173,08:30:55.529,0
2021-01-22,2603,32.1,187,08:31:00.549,0
2021-01-22,2603,32.1,192,08:31:05.565,0
2021-01-22,2603,32.1,205,08:31:10.744,0
2021-01-22,2603,32.1,219,08:31:15.924,0
2021-01-22,2603,32.1,231,08:31:21.113,0
2021-01-22,2603,32.1,234,08:31:26.312,0
2021-01-22,2603,32.1,249,08:31:31.315,0
2021-01-22,2603,32.1,273,08:31:36.321,0
2021-01-22,2603,32.1,276,08:31:41.329,0
2021-01-22,2603,32.1,281,08:31:46.337,0
2021-01-22,2603,32.1,287,08:31:51.348,0
2021-01-22,2603,32.1,307,08:31:56.359,0
2021-01-22,2603,32.1,307,08:32:01.373,0
2021-01-22,2603,32.1,356,08:32:06.385,0
2021-01-22,2603,32.1,361,08:32:11.396,0
2021-01-22,2603,32.1,370,08:32:16.410,0
2021-01-22,2603,32.1,379,08:32:21.424,0
2021-01-22,2603,32.1,319,08:32:26.438,0
2021-01-22,2603,32.1,319,08:32:31.451,0
2021-01-22,2603,32.1,319,08:32:36.466,0
2021-01-22,2603,32.1,319,08:32:41.480,0
2021-01-22,2603,32.1,414,08:32:46.494,0
2021-01-22,2603,32.1,417,08:32:51.506,0
2021-01-22,2603,32.1,328,08:32:56.518,0
2021-01-22,2603,32.1,329,08:33:01.533,0
2021-01-22,2603,32.1,321,08:33:06.549,0
