date,datetime,stockid,userid,artid,reply,likes
2021/09/09,2021/09/09 20:02,4976,8784029,132734293,0,0
2021/09/09,2021/09/09 16:22,4976,4792161,132719385,1,1
2021/09/09,2021/09/09 13:07,4976,5127614,132696879,0,9
2021/09/09,2021/09/09 12:48,4976,1922611,132694664,1,1
2021/09/09,2021/09/09 10:39,4976,1922611,132680278,2,5
2021/09/09,2021/09/09 09:14,4976,1680107,132669938,4,8
2021/09/09,2021/09/09 08:16,4976,7693164,132664551,6,6
2021/09/08,2021/09/08 20:39,4976,6636009,132639745,5,17
2021/09/08,2021/09/08 18:32,4976,5648630,132629771,3,14
2021/09/08,2021/09/08 17:24,4976,8756719,132624607,0,12
2021/09/08,2021/09/08 13:42,4976,4206944,132599804,0,7
2021/09/08,2021/09/08 13:08,4976,6853273,132595579,4,6
2021/09/08,2021/09/08 13:05,4976,6191159,132595271,0,5
2021/09/08,2021/09/08 12:39,4976,1922611,132592067,7,2
2021/09/08,2021/09/08 12:08,4976,1922611,132588259,0,4
2021/09/08,2021/09/08 11:42,4976,1922611,132584700,2,5
2021/09/08,2021/09/08 11:24,4976,6191159,132582427,3,3
2021/09/08,2021/09/08 11:07,4976,6853273,132580282,0,3
2021/09/08,2021/09/08 10:55,4976,1338393,132578797,2,3
2021/09/08,2021/09/08 10:09,4976,927366,132573184,1,2
2021/09/08,2021/09/08 09:15,4976,7175692,132566293,0,10
2021/09/08,2021/09/08 09:11,4976,4139837,132565748,0,11
2021/09/08,2021/09/08 09:10,4976,927366,132565695,1,3
2021/09/08,2021/09/08 08:49,4976,4139837,132562872,0,8
2021/09/07,2021/09/07 19:50,4976,5180370,132532237,0,5
2021/09/07,2021/09/07 13:33,4976,11368474,132496004,5,12
2021/09/07,2021/09/07 12:01,4976,1922611,132484912,1,8
2021/09/07,2021/09/07 09:48,4976,927366,132468210,0,3
2021/09/06,2021/09/06 18:22,4976,4206944,132421542,11,12
2021/09/06,2021/09/06 13:15,4976,6191159,132386843,0,6
2021/09/06,2021/09/06 09:37,4976,5615583,132359125,1,22
2021/09/06,2021/09/06 09:19,4976,4139837,132357265,3,21
2021/09/05,2021/09/05 01:50,4976,1603831,132300631,32,390
2021/09/04,2021/09/04 23:13,4976,3848684,132297329,3,13
2021/09/04,2021/09/04 14:24,4976,6636009,132263990,7,24
2021/09/04,2021/09/04 11:06,4976,8756719,132256735,0,8
2021/09/03,2021/09/03 11:18,4976,927366,132170876,1,10
2021/09/03,2021/09/03 09:42,4976,11351726,132157264,3,17
2021/09/03,2021/09/03 08:40,4976,12016512,132150093,0,7
2021/09/02,2021/09/02 21:17,4976,4369088,132126485,0,7
2021/09/02,2021/09/02 19:46,4976,4003561,132117843,2,40
2021/09/02,2021/09/02 18:25,4976,2048086,132111278,2,16
2021/09/02,2021/09/02 17:59,4976,5305127,132109302,83,616
2021/09/02,2021/09/02 13:42,4976,819484,132083683,7,19
2021/09/02,2021/09/02 13:39,4976,6723652,132083328,0,18
2021/09/02,2021/09/02 13:05,4976,5697352,132079314,0,7
2021/09/02,2021/09/02 11:24,4976,5305127,132066655,5,81
2021/09/02,2021/09/02 11:03,4976,4206944,132064090,2,8
2021/09/02,2021/09/02 11:02,4976,4798272,132063979,0,6
2021/09/02,2021/09/02 10:34,4976,621185,132059629,6,37
2021/09/02,2021/09/02 10:27,4976,12789753,132058740,6,0
2021/09/02,2021/09/02 10:00,4976,425559,132054671,4,4
2021/09/02,2021/09/02 09:34,4976,5340114,132050988,0,7
2021/09/02,2021/09/02 09:30,4976,5305127,132050432,13,122
2021/09/02,2021/09/02 08:36,4976,819484,132044337,0,10
2021/09/02,2021/09/02 08:32,4976,5180370,132044047,2,1
2021/09/02,2021/09/02 08:11,4976,819484,132042691,0,19
2021/09/02,2021/09/02 07:18,4976,4003561,132039642,8,54
2021/09/01,2021/09/01 21:58,4976,4162955,132022365,4,19
2021/09/01,2021/09/01 21:52,4976,6064732,132021824,27,356
2021/09/01,2021/09/01 21:50,4976,13101555,132021629,0,5
2021/09/01,2021/09/01 21:30,4976,691822,132020127,0,5
2021/09/01,2021/09/01 21:17,4976,5932741,132019144,0,5
2021/09/01,2021/09/01 19:39,4976,819484,132011076,1,14
2021/09/01,2021/09/01 18:50,4976,7863970,132007556,1,18
2021/09/01,2021/09/01 18:46,4976,819484,132007349,1,26
2021/09/01,2021/09/01 18:16,4976,2048086,132005025,0,3
2021/09/01,2021/09/01 17:29,4976,8756719,132001154,0,8
2021/09/01,2021/09/01 16:56,4976,9708221,131998332,0,11
2021/09/01,2021/09/01 14:26,4976,7179919,131979774,3,29
2021/09/01,2021/09/01 12:54,4976,9182759,131968068,6,16
2021/09/01,2021/09/01 11:42,4976,819484,131958026,3,16
2021/09/01,2021/09/01 10:39,4976,4368536,131950128,3,9
2021/09/01,2021/09/01 10:29,4976,7059321,131948941,0,9
2021/09/01,2021/09/01 09:57,4976,7162949,131944214,0,2
2021/09/01,2021/09/01 09:45,4976,4604963,131942496,1,2
2021/09/01,2021/09/01 09:44,4976,478112,131942424,1,2
2021/09/01,2021/09/01 09:42,4976,10694722,131942216,0,6
2021/09/01,2021/09/01 09:27,4976,12755310,131940349,0,6
2021/09/01,2021/09/01 09:24,4976,9137884,131940008,1,14
2021/09/01,2021/09/01 09:24,4976,11225914,131939996,0,8
2021/09/01,2021/09/01 09:21,4976,1623851,131939457,1,5
2021/09/01,2021/09/01 09:10,4976,8283683,131938297,5,6
2021/09/01,2021/09/01 09:07,4976,5340114,131938016,1,13
2021/09/01,2021/09/01 09:07,4976,11222881,131938008,0,5
2021/09/01,2021/09/01 09:07,4976,1608254,131937983,0,5
2021/08/31,2021/08/31 23:18,4976,4369088,131920061,1,2
2021/08/30,2021/08/30 23:29,4976,7166679,131819461,1,2
2021/08/30,2021/08/30 20:24,4976,5773144,131807175,0,9
2021/08/30,2021/08/30 17:42,4976,7166679,131797535,2,15
2021/08/30,2021/08/30 12:36,4976,4206944,131770062,2,17
2021/08/30,2021/08/30 11:14,4976,4206944,131761420,5,7
2021/08/30,2021/08/30 11:09,4976,12789753,131761045,2,8
2021/08/30,2021/08/30 10:16,4976,7162949,131755518,0,5
2021/08/30,2021/08/30 09:54,4976,9901336,131752582,7,5
2021/08/30,2021/08/30 09:27,4976,1898643,131749609,0,0
2021/08/30,2021/08/30 05:51,4976,4296373,131739329,1,26
2021/08/29,2021/08/29 23:21,4976,10382589,131733952,3,6
2021/08/28,2021/08/28 17:22,4976,9703246,131674699,8,20
2021/08/28,2021/08/28 11:25,4976,8756719,131659379,1,8
2021/08/27,2021/08/27 21:44,4976,5431333,131635283,0,9
2021/08/27,2021/08/27 14:53,4976,9182759,131602101,12,23
2021/08/27,2021/08/27 14:15,4976,5732576,131597599,11,81
2021/08/27,2021/08/27 14:11,4976,4151741,131597153,4,12
2021/08/27,2021/08/27 12:55,4976,1385551,131587308,4,2
2021/08/27,2021/08/27 11:31,4976,7162949,131576643,1,5
2021/08/27,2021/08/27 09:46,4976,7162949,131562266,2,7
2021/08/27,2021/08/27 09:29,4976,5615583,131559945,0,10
2021/08/27,2021/08/27 08:40,4976,5370095,131553717,0,14
2021/08/27,2021/08/27 07:26,4976,896428,131548996,3,27
2021/08/27,2021/08/27 06:13,4976,6904559,131546795,1,8
2021/08/26,2021/08/26 21:45,4976,8703990,131531442,2,6
2021/08/26,2021/08/26 19:21,4976,6904559,131519888,6,14
2021/08/26,2021/08/26 19:08,4976,5648630,131518887,12,7
2021/08/26,2021/08/26 17:45,4976,7162949,131512811,3,7
2021/08/26,2021/08/26 13:24,4976,5481735,131485058,39,77
2021/08/26,2021/08/26 13:08,4976,5594098,131482951,3,13
2021/08/26,2021/08/26 13:07,4976,1680107,131482835,2,3
2021/08/26,2021/08/26 13:06,4976,7509594,131482737,0,5
2021/08/26,2021/08/26 12:42,4976,1623851,131479639,1,4
2021/08/26,2021/08/26 12:32,4976,4031185,131478553,1,9
2021/08/26,2021/08/26 12:30,4976,1507647,131478241,0,7
2021/08/26,2021/08/26 11:27,4976,7227999,131469823,1,4
2021/08/26,2021/08/26 11:10,4976,4254459,131467627,1,0
