date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,datetime,stockid,userid,artid,reply,likes
2021-08-02,6104,5761000,805142500,137.0,144.0,136.0,142.0,9.0,3393,2021/08/02 07:04,6104.0,8953105.0,128854199.0,2.0,42.0
2021-08-03,6104,5480000,754669500,140.0,141.0,132.5,138.0,-4.0,3272,2021/08/03 06:54,6104.0,8953105.0,128975040.0,2.0,34.0
2021-08-04,6104,17531000,2287188000,137.0,138.5,124.5,128.0,-10.0,10481,,,,,,
2021-08-05,6104,30582000,4180139500,129.0,140.5,129.0,135.0,7.0,16677,,,,,,
2021-08-06,6104,10980000,1412287000,134.0,134.5,123.5,129.0,-6.0,7430,,,,,,
2021-08-09,6104,8707000,1065420500,125.0,128.0,118.0,122.0,-7.0,5409,2021/08/09 21:56,6104.0,0.0,129719032.0,12.0,0.0
2021-08-09,6104,8707000,1065420500,125.0,128.0,118.0,122.0,-7.0,5409,2021/08/09 21:07,6104.0,5477459.0,129714117.0,7.0,10.0
2021-08-09,6104,8707000,1065420500,125.0,128.0,118.0,122.0,-7.0,5409,2021/08/09 20:51,6104.0,1537285.0,129712025.0,19.0,17.0
2021-08-09,6104,8707000,1065420500,125.0,128.0,118.0,122.0,-7.0,5409,2021/08/09 20:46,6104.0,328910.0,129711477.0,1.0,13.0
2021-08-09,6104,8707000,1065420500,125.0,128.0,118.0,122.0,-7.0,5409,2021/08/09 19:24,6104.0,1034375.0,129701413.0,0.0,7.0
2021-08-09,6104,8707000,1065420500,125.0,128.0,118.0,122.0,-7.0,5409,2021/08/09 18:35,6104.0,5613090.0,129695629.0,1.0,4.0
2021-08-09,6104,8707000,1065420500,125.0,128.0,118.0,122.0,-7.0,5409,2021/08/09 17:42,6104.0,1058446.0,129689512.0,2.0,6.0
2021-08-09,6104,8707000,1065420500,125.0,128.0,118.0,122.0,-7.0,5409,2021/08/09 15:14,6104.0,1385545.0,129667049.0,10.0,20.0
2021-08-09,6104,8707000,1065420500,125.0,128.0,118.0,122.0,-7.0,5409,2021/08/09 13:25,6104.0,4651172.0,129648621.0,1.0,25.0
2021-08-09,6104,8707000,1065420500,125.0,128.0,118.0,122.0,-7.0,5409,2021/08/09 13:19,6104.0,3741655.0,129647486.0,5.0,5.0
2021-08-09,6104,8707000,1065420500,125.0,128.0,118.0,122.0,-7.0,5409,2021/08/09 12:35,6104.0,4562850.0,129641089.0,4.0,4.0
2021-08-09,6104,8707000,1065420500,125.0,128.0,118.0,122.0,-7.0,5409,2021/08/09 12:28,6104.0,699303.0,129640010.0,15.0,6.0
2021-08-09,6104,8707000,1065420500,125.0,128.0,118.0,122.0,-7.0,5409,2021/08/09 12:15,6104.0,6422307.0,129638000.0,5.0,14.0
2021-08-09,6104,8707000,1065420500,125.0,128.0,118.0,122.0,-7.0,5409,2021/08/09 11:55,6104.0,5963125.0,129634409.0,0.0,7.0
2021-08-09,6104,8707000,1065420500,125.0,128.0,118.0,122.0,-7.0,5409,2021/08/09 11:52,6104.0,1086135.0,129633888.0,6.0,26.0
2021-08-09,6104,8707000,1065420500,125.0,128.0,118.0,122.0,-7.0,5409,2021/08/09 11:34,6104.0,5261063.0,129630881.0,6.0,5.0
2021-08-09,6104,8707000,1065420500,125.0,128.0,118.0,122.0,-7.0,5409,2021/08/09 11:17,6104.0,5808051.0,129627857.0,9.0,5.0
2021-08-09,6104,8707000,1065420500,125.0,128.0,118.0,122.0,-7.0,5409,2021/08/09 09:25,6104.0,1746029.0,129608912.0,10.0,14.0
2021-08-09,6104,8707000,1065420500,125.0,128.0,118.0,122.0,-7.0,5409,2021/08/09 08:58,6104.0,5261063.0,129603912.0,7.0,2.0
2021-08-10,6104,17516000,1998594500,121.0,123.5,110.0,110.0,-12.0,9329,2021/08/10 22:48,6104.0,4103494.0,129867553.0,1.0,6.0
2021-08-10,6104,17516000,1998594500,121.0,123.5,110.0,110.0,-12.0,9329,2021/08/10 22:44,6104.0,4103494.0,129867207.0,12.0,11.0
2021-08-10,6104,17516000,1998594500,121.0,123.5,110.0,110.0,-12.0,9329,2021/08/10 21:37,6104.0,3956793.0,129860761.0,0.0,2.0
2021-08-10,6104,17516000,1998594500,121.0,123.5,110.0,110.0,-12.0,9329,2021/08/10 21:16,6104.0,0.0,129858737.0,16.0,0.0
2021-08-10,6104,17516000,1998594500,121.0,123.5,110.0,110.0,-12.0,9329,2021/08/10 21:16,6104.0,819484.0,129858721.0,0.0,10.0
2021-08-10,6104,17516000,1998594500,121.0,123.5,110.0,110.0,-12.0,9329,2021/08/10 20:55,6104.0,6904559.0,129855954.0,6.0,6.0
2021-08-10,6104,17516000,1998594500,121.0,123.5,110.0,110.0,-12.0,9329,2021/08/10 19:36,6104.0,11440032.0,129847148.0,5.0,10.0
2021-08-10,6104,17516000,1998594500,121.0,123.5,110.0,110.0,-12.0,9329,2021/08/10 19:11,6104.0,5319619.0,129844117.0,0.0,4.0
2021-08-10,6104,17516000,1998594500,121.0,123.5,110.0,110.0,-12.0,9329,2021/08/10 17:59,6104.0,1986700.0,129836716.0,3.0,13.0
2021-08-10,6104,17516000,1998594500,121.0,123.5,110.0,110.0,-12.0,9329,2021/08/10 17:34,6104.0,1537285.0,129833469.0,4.0,14.0
2021-08-10,6104,17516000,1998594500,121.0,123.5,110.0,110.0,-12.0,9329,2021/08/10 17:23,6104.0,671922.0,129832208.0,2.0,7.0
2021-08-10,6104,17516000,1998594500,121.0,123.5,110.0,110.0,-12.0,9329,2021/08/10 16:47,6104.0,929581.0,129827022.0,2.0,5.0
2021-08-10,6104,17516000,1998594500,121.0,123.5,110.0,110.0,-12.0,9329,2021/08/10 16:45,6104.0,6205457.0,129826440.0,14.0,60.0
2021-08-10,6104,17516000,1998594500,121.0,123.5,110.0,110.0,-12.0,9329,2021/08/10 16:19,6104.0,5190695.0,129823024.0,2.0,8.0
2021-08-10,6104,17516000,1998594500,121.0,123.5,110.0,110.0,-12.0,9329,2021/08/10 15:30,6104.0,9935786.0,129813534.0,3.0,12.0
2021-08-10,6104,17516000,1998594500,121.0,123.5,110.0,110.0,-12.0,9329,2021/08/10 15:14,6104.0,5503435.0,129811570.0,8.0,17.0
2021-08-10,6104,17516000,1998594500,121.0,123.5,110.0,110.0,-12.0,9329,2021/08/10 15:11,6104.0,11061865.0,129810826.0,3.0,3.0
2021-08-10,6104,17516000,1998594500,121.0,123.5,110.0,110.0,-12.0,9329,2021/08/10 14:29,6104.0,8159202.0,129805100.0,3.0,18.0
2021-08-10,6104,17516000,1998594500,121.0,123.5,110.0,110.0,-12.0,9329,2021/08/10 14:24,6104.0,1452001.0,129804514.0,7.0,18.0
2021-08-10,6104,17516000,1998594500,121.0,123.5,110.0,110.0,-12.0,9329,2021/08/10 14:23,6104.0,4651172.0,129804455.0,2.0,6.0
2021-08-10,6104,17516000,1998594500,121.0,123.5,110.0,110.0,-12.0,9329,2021/08/10 14:03,6104.0,5590577.0,129801566.0,5.0,6.0
2021-08-10,6104,17516000,1998594500,121.0,123.5,110.0,110.0,-12.0,9329,2021/08/10 13:57,6104.0,5825244.0,129799902.0,9.0,38.0
