date,datetime,stockid,userid,artid,reply,likes,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2021-08-27,2021/08/27 15:43,2013,421190,131606913,11,78,,,,,,,,,
2021-08-27,2021/08/27 15:32,2013,8040290,131605686,3,5,,,,,,,,,
2021-08-27,2021/08/27 15:25,2013,13349140,131605202,2,1,,,,,,,,,
2021-08-27,2021/08/27 13:56,2013,4394037,131594870,0,5,,,,,,,,,
2021-08-27,2021/08/27 13:47,2013,6083784,131593554,0,2,,,,,,,,,
2021-08-27,2021/08/27 13:35,2013,1853137,131592369,1,7,,,,,,,,,
2021-08-27,2021/08/27 13:18,2013,12941339,131590291,0,6,,,,,,,,,
2021-08-27,2021/08/27 13:16,2013,12916497,131590102,0,7,,,,,,,,,
2021-08-27,2021/08/27 13:13,2013,9980456,131589699,2,3,,,,,,,,,
2021-08-27,2021/08/27 13:03,2013,8774645,131588583,23,154,,,,,,,,,
2021-08-27,2021/08/27 12:47,2013,12050030,131586464,1,2,,,,,,,,,
2021-08-27,2021/08/27 12:43,2013,873577,131585957,3,7,,,,,,,,,
2021-08-27,2021/08/27 12:37,2013,10023506,131585106,6,12,,,,,,,,,
2021-08-27,2021/08/27 12:29,2013,13054468,131583962,11,5,,,,,,,,,
2021-08-27,2021/08/27 12:27,2013,7733904,131583655,3,7,,,,,,,,,
2021-08-27,2021/08/27 12:26,2013,1729938,131583532,0,8,,,,,,,,,
2021-08-27,2021/08/27 12:24,2013,5630994,131583224,3,5,,,,,,,,,
2021-08-27,2021/08/27 12:23,2013,4309899,131583144,9,50,,,,,,,,,
2021-08-27,2021/08/27 12:21,2013,5217642,131582871,1,23,,,,,,,,,
2021-08-27,2021/08/27 12:20,2013,784409,131582737,0,0,,,,,,,,,
2021-08-27,2021/08/27 12:10,2013,4753491,131581618,3,3,,,,,,,,,
2021-08-27,2021/08/27 12:03,2013,7192751,131580803,11,17,,,,,,,,,
2021-08-27,2021/08/27 11:57,2013,2209905,131579956,5,3,,,,,,,,,
2021-08-27,2021/08/27 11:53,2013,4787930,131579369,41,32,,,,,,,,,
2021-08-27,2021/08/27 11:51,2013,10023506,131579136,1,6,,,,,,,,,
2021-08-27,2021/08/27 11:46,2013,784409,131578433,1,5,,,,,,,,,
2021-08-27,2021/08/27 11:46,2013,12113636,131578427,0,2,,,,,,,,,
2021-08-27,2021/08/27 11:45,2013,12005070,131578357,0,0,,,,,,,,,
2021-08-27,2021/08/27 11:39,2013,2176778,131577757,9,3,,,,,,,,,
2021-08-27,2021/08/27 11:28,2013,784409,131576282,2,5,,,,,,,,,
2021-08-27,2021/08/27 11:26,2013,10830922,131575954,4,2,,,,,,,,,
2021-08-27,2021/08/27 11:15,2013,5630994,131574580,10,4,,,,,,,,,
